配信順序,送信タイミング,件名,メッセージ本文,リンクURL_1,リンクURL_2,画像ファイル名,A/Bテスト区分,備考
2A,30分後,【72時間限定】教材読者限定 特別なご提案,上記と同じ内容,体験申込みページURL,,taiken_button_blue.png,A,青系ボタン
2B,30分後,【72時間限定】教材読者限定 特別なご提案,上記と同じ内容,体験申込みページURL,,taiken_button_green.png,B,緑系ボタンでテスト
,,,,,,,,
【効果測定項目】,,,,,,,,
開封率,各配信メッセージの開封率,,,,,,,目標：80%以上
クリック率,リンクのクリック率,,,,,,,目標：15%以上
コンバージョン率,最終申込み率,,,,,,,目標：3%以上
離脱ポイント,どの配信で離脱するか,,,,,,,分析用
読了時間,メッセージの読了時間,,,,,,,分析用
ボタン色別効果,A/Bテストの効果比較,,,,,,,最適化用
,,,,,,,,
【運用上の注意点】,,,,,,,,
タイマー管理,個別ユーザーの72時間管理,,,,,,,システム要件
リンク制御,期限・定員到達時の自動停止,,,,,,,システム要件
画像最適化,LINE表示に最適化したサイズ,,,,,,,推奨：横幅1200px
送信時間,最適な送信時間の検証,,,,,,,19-21時推奨
配信頻度,72時間で5通の適切な間隔,,,,,,,ユーザビリティ考慮
段階的配布,特典と体験権利を時間差で配布,,,,,,,マーケティング効果最大化
